	scheme	variant	model	n_distractors	precision	recall	accuracy	f1-score
0	gen_modus_ponens	base	google/gemma-7b-it	0	1.0	0.7272727272727273	0.8125	0.8421052631578948
1	gen_modus_ponens	negation	google/gemma-7b-it	0	1.0	0.9259259259259259	0.96	0.9615384615384615
2	gen_modus_ponens	complex_predicates	google/gemma-7b-it	0	0.8888888888888888	1.0	0.9444444444444444	0.9411764705882353
3	gen_modus_ponens	de_morgan	google/gemma-7b-it	0	0.015	0.014778325123152709	0.0075	0.01488833746898263
4	gen_modus_ponens (dummy)	base	google/gemma-7b-it	0	1.0	0.7326007326007326	0.8175	0.8456659619450316
5	gen_modus_ponens (dummy)	negation	google/gemma-7b-it	0	1.0	0.9049773755656109	0.9475	0.9501187648456058
6	gen_modus_ponens (dummy)	complex_predicates	google/gemma-7b-it	0	0.8888888888888888	0.8	0.8333333333333334	0.8421052631578948
7	gen_modus_ponens (dummy)	de_morgan	google/gemma-7b-it	0	0.07to_csv	0.06542056074766354	0.035	0.06763285024154589
8	gen_modus_tollens	base	google/gemma-7b-it	0	0.82	0.8817204301075269	0.855	0.849740932642487
9	gen_modus_tollens	negation	google/gemma-7b-it	0	0.005	0.008771929824561403	0.22	0.006369426751592356
10	gen_modus_tollens	complex_predicates	google/gemma-7b-it	0	1.0	0.9852216748768473	0.9925	0.9925558312655086
11	gen_modus_tollens	de_morgan	google/gemma-7b-it	0	1.0	0.975609756097561	0.9875	0.9876543209876543
12	gen_modus_tollens (dummy)	base	google/gemma-7b-it	0	0.81	0.8617021276595744	0.84	0.8350515463917526
13	gen_modus_tollens (dummy)	negation	google/gemma-7b-it	0	0.045	0.056962025316455694	0.15	0.05027932960893855
14	gen_modus_tollens (dummy)	complex_predicates	google/gemma-7b-it	0	1.0	0.91324200913242	0.9525	0.954653937947494
15	gen_modus_tollens (dummy)	de_morgan	google/gemma-7b-it	0	1.0	0.970873786407767	0.985	0.9852216748768473
16	gen_contraposition	base	google/gemma-7b-it	0	1.0	0.6211180124223602	0.695	0.7662835249042146
17	gen_contraposition	negation	google/gemma-7b-it	0	1.0	0.7481481481481481	0.8316831683168316	0.8559322033898306
18	gen_contraposition	complex_predicates	google/gemma-7b-it	0	0.93	0.484375	0.47	0.636986301369863
19	gen_contraposition	de_morgan	google/gemma-7b-it	0	1.0	0.5102040816326531	0.52	0.6756756756756758
20	hypothetical_syllogism_1	base	google/gemma-7b-it	0	1.0	0.7426470588235294	0.8267326732673267	0.8523206751054853
21	hypothetical_syllogism_1	negation	google/gemma-7b-it	0	0.35	0.2766798418972332	0.2175	0.30905077262693154
22	hypothetical_syllogism_1	complex_predicates	google/gemma-7b-it	0	0.955	0.6895306859205776	0.7625	0.80083857442348
23	hypothetical_syllogism_1	de_morgan	google/gemma-7b-it	0	0.995	0.8326359832635983	0.8975	0.9066059225512528
24	hypothetical_syllogism_3	base	google/gemma-7b-it	0	0.98	0.6490066225165563	0.725	0.7808764940239044
25	hypothetical_syllogism_3	negation	google/gemma-7b-it	0	0.53	0.3680555555555556	0.31	0.43442622950819676
26	hypothetical_syllogism_3	complex_predicates	google/gemma-7b-it	0	1.0	0.5899705014749262	0.6525	0.7421150278293136
27	hypothetical_syllogism_3	de_morgan	google/gemma-7b-it	0	1.0	0.7722007722007722	0.8525	0.8714596949891068
28	disjunctive_syllogism	base	google/gemma-7b-it	0	0.145	0.15675675675675677	0.1825	0.15064935064935064
29	disjunctive_syllogism	negation	google/gemma-7b-it	0	0.0	0.0	0.0975	0.0
30	disjunctive_syllogism	complex_predicates	google/gemma-7b-it	0	0.0	0.0	0.0	0.0
31	disjunctive_syllogism	de_morgan	google/gemma-7b-it	0	0.14	0.16	0.2025	0.14933333333333335
32	gen_dilemma	base	google/gemma-7b-it	0	1.0	0.7407407407407407	0.825	0.851063829787234
33	gen_dilemma	negation	google/gemma-7b-it	0	0.985	0.5281501340482574	0.5525	0.6876090750436301
34	gen_dilemma	complex_predicates	google/gemma-7b-it	0	1.0	0.5882352941176471	0.65	0.7407407407407407
35	gen_dilemma	de_morgan	google/gemma-7b-it	0	0.27	0.23076923076923078	0.185	0.24884792626728108
